,Unnamed: 0,I,J,CELLACTIVE_x,X,Y,Conc,CELLACTIVE_y,_count,_sum,_mean,_median,_min,_max,_range,Comparison_Output,Conc-_sum_PercentDiff,Conc-_mean_PercentDiff,Conc-_median_PercentDiff,Conc-_min_PercentDiff,Conc-_max_PercentDiff
468341,468341,403,414,1,569027.5,147407.5,378.5,1,4,378.5,94.625,0,0,378.5,378.5,FALSE,0.00%,120.00%,200.00%,200.00%,0.00%
475320,475320,409,409,1,568952.5,147317.5,378.5,1,4,378.5,94.625,0,0,378.5,378.5,FALSE,0.00%,120.00%,200.00%,200.00%,0.00%
479973,479973,413,406,1,568907.5,147257.5,378.5,1,4,378.5,94.625,0,0,378.5,378.5,FALSE,0.00%,120.00%,200.00%,200.00%,0.00%
481136,481136,414,405,1,568892.5,147242.5,378.5,1,4,378.5,94.625,0,0,378.5,378.5,FALSE,0.00%,120.00%,200.00%,200.00%,0.00%
482299,482299,415,404,1,568877.5,147227.5,378.5,1,4,378.5,94.625,0,0,378.5,378.5,FALSE,0.00%,120.00%,200.00%,200.00%,0.00%
484625,484625,417,402,1,568847.5,147197.5,378.5,1,4,378.5,94.625,0,0,378.5,378.5,FALSE,0.00%,120.00%,200.00%,200.00%,0.00%
495090,495090,426,391,1,568682.5,147062.5,461.5,1,4,461.5,115.375,0,0,461.5,461.5,FALSE,0.00%,120.00%,200.00%,200.00%,0.00%
502066,502066,432,383,1,568562.5,146972.5,133.5,1,4,133.5,33.375,0,0,133.5,133.5,FALSE,0.00%,120.00%,200.00%,200.00%,0.00%
511367,511367,440,372,1,568397.5,146852.5,772.7999878,1,4,772.7999878,193.1999969,0,0,772.7999878,772.7999878,FALSE,0.00%,120.00%,200.00%,200.00%,0.00%
498577,498577,429,386,1,568607.5,147017.5,318.3999939,1,4,318.3999939,79.59999847,0,0,318.3999939,318.3999939,FALSE,0.00%,120.00%,200.00%,200.00%,0.00%
513691,513691,442,368,1,568337.5,146822.5,302.8999939,1,4,302.8999939,75.72499847,0,0,302.8999939,302.8999939,FALSE,0.00%,120.00%,200.00%,200.00%,0.00%
499740,499740,430,385,1,568592.5,147002.5,244.6000061,1,4,244.6000061,61.15000153,0,0,244.6000061,244.6000061,FALSE,0.00%,120.00%,200.00%,200.00%,0.00%
489275,489275,421,396,1,568757.5,147137.5,425.7999878,1,4,425.7999878,106.4499969,0,0,425.7999878,425.7999878,FALSE,0.00%,120.00%,200.00%,200.00%,0.00%
497417,497417,428,390,1,568667.5,147032.5,420.7999878,1,4,420.7999878,105.1999969,0,0,420.7999878,420.7999878,FALSE,0.00%,120.00%,200.00%,200.00%,0.00%
525319,525319,452,356,1,568157.5,146672.5,222.1999969,1,4,222.1999969,55.54999924,0,0,222.1999969,222.1999969,FALSE,0.00%,120.00%,200.00%,200.00%,0.00%
505553,505553,435,378,1,568487.5,146927.5,185.6999969,1,4,185.6999969,46.42499924,0,0,185.6999969,185.6999969,FALSE,0.00%,120.00%,200.00%,200.00%,0.00%
500903,500903,431,384,1,568577.5,146987.5,149.8000031,1,4,149.8000031,37.45000076,0,0,149.8000031,149.8000031,FALSE,0.00%,120.00%,200.00%,200.00%,0.00%
553326,553326,476,427,1,569222.5,146312.5,378.3999939,1,4,1513.599976,378.3999939,378.3999939,378.2999878,378.5,0.200012207,FALSE,120.00%,0.00%,0.00%,0.03%,0.03%
513732,513732,442,409,1,568952.5,146822.5,306.6000061,1,4,1226.400024,306.6000061,306.6500092,301.8999939,311.2000122,9.300018311,FALSE,120.00%,0.00%,0.02%,1.54%,1.49%
516048,516048,444,397,1,568772.5,146792.5,98.59999847,1,4,394.3999939,98.59999847,98.59999847,97.59999847,99.59999847,2,FALSE,120.00%,0.00%,0.00%,1.02%,1.01%
505556,505556,435,381,1,568532.5,146927.5,123.8000031,1,4,495.2000122,123.8000031,123.8000031,123.8000031,123.8000031,0,FALSE,120.00%,0.00%,0.00%,0.00%,0.00%
