,Unnamed: 0,I,J,CELLACTIVE_x,X,Y,Conc,CELLACTIVE_y,_count,_sum,_mean,_median,_min,_max,_range,Percent_Diff
468341,468341,403,414,1,569027.5,147407.5,378.5,1,4.0,378.5,94.625,0.0,0.0,378.5,378.5,120.0
469505,469505,404,414,1,569027.5,147392.5,378.5,1,4.0,1514.0,378.5,378.5,378.5,378.5,0.0,0.0
469506,469506,404,415,1,569042.5,147392.5,378.5,1,4.0,1514.0,378.5,378.5,378.5,378.5,0.0,0.0
470668,470668,405,413,1,569012.5,147377.5,378.5,1,4.0,1514.0,378.5,378.5,378.5,378.5,0.0,0.0
470669,470669,405,414,1,569027.5,147377.5,378.5,1,4.0,1514.0,378.5,378.5,378.5,378.5,0.0,0.0
470670,470670,405,415,1,569042.5,147377.5,378.5,1,4.0,1514.0,378.5,378.5,378.5,378.5,0.0,0.0
470671,470671,405,416,1,569057.5,147377.5,378.5,1,4.0,1514.0,378.5,378.5,378.5,378.5,0.0,0.0
471831,471831,406,412,1,568997.5,147362.5,378.5,1,4.0,1514.0,378.5,378.5,378.5,378.5,0.0,0.0
471832,471832,406,413,1,569012.5,147362.5,378.5,1,4.0,1514.0,378.5,378.5,378.5,378.5,0.0,0.0
471833,471833,406,414,1,569027.5,147362.5,378.5,1,4.0,1514.0,378.5,378.5,378.5,378.5,0.0,0.0
471834,471834,406,415,1,569042.5,147362.5,378.5,1,4.0,1514.0,378.5,378.5,378.5,378.5,0.0,0.0
471835,471835,406,416,1,569057.5,147362.5,378.5,1,4.0,1514.0,378.5,378.5,378.5,378.5,0.0,0.0
471836,471836,406,417,1,569072.5,147362.5,378.5,1,4.0,1514.0,378.5,378.5,378.5,378.5,0.0,0.0
471837,471837,406,418,1,569087.5,147362.5,378.5,1,4.0,1135.5,283.875,378.5,0.0,378.5,378.5,28.571428571428573
472994,472994,407,411,1,568982.5,147347.5,378.5,1,4.0,757.0,189.25,189.25,0.0,378.5,378.5,66.66666666666667
472995,472995,407,412,1,568997.5,147347.5,378.5,1,4.0,1514.0,378.5,378.5,378.5,378.5,0.0,0.0
472996,472996,407,413,1,569012.5,147347.5,378.5,1,4.0,1514.0,378.5,378.5,378.5,378.5,0.0,0.0
472997,472997,407,414,1,569027.5,147347.5,378.5,1,4.0,1514.0,378.5,378.5,378.5,378.5,0.0,0.0
472998,472998,407,415,1,569042.5,147347.5,378.5,1,4.0,1514.0,378.5,378.5,378.5,378.5,0.0,0.0
472999,472999,407,416,1,569057.5,147347.5,378.5,1,4.0,1514.0,378.5,378.5,378.5,378.5,0.0,0.0
473000,473000,407,417,1,569072.5,147347.5,378.5,1,4.0,1514.0,378.5,378.5,378.5,378.5,0.0,0.0
473001,473001,407,418,1,569087.5,147347.5,378.5,1,4.0,1514.0,378.5,378.5,378.5,378.5,0.0,0.0
473002,473002,407,419,1,569102.5,147347.5,378.5,1,4.0,1514.0,378.5,378.5,378.5,378.5,0.0,0.0
474158,474158,408,411,1,568982.5,147332.5,378.5,1,4.0,1514.0,378.5,378.5,378.5,378.5,0.0,0.0
474159,474159,408,412,1,568997.5,147332.5,378.5,1,4.0,1514.0,378.5,378.5,378.5,378.5,0.0,0.0
474160,474160,408,413,1,569012.5,147332.5,378.5,1,4.0,1514.0,378.5,378.5,378.5,378.5,0.0,0.0
474161,474161,408,414,1,569027.5,147332.5,378.5,1,4.0,1514.0,378.5,378.5,378.5,378.5,0.0,0.0
474162,474162,408,415,1,569042.5,147332.5,378.5,1,4.0,1514.0,378.5,378.5,378.5,378.5,0.0,0.0
474163,474163,408,416,1,569057.5,147332.5,378.5,1,4.0,1514.0,378.5,378.5,378.5,378.5,0.0,0.0
474164,474164,408,417,1,569072.5,147332.5,378.5,1,4.0,1514.0,378.5,378.5,378.5,378.5,0.0,0.0
